"ID_PARTICIPANTE";"IDBENEFICIO";"NOME";"VL_VALOR";"DT_INICIO_BENEFICIO"
"10123420";"487";"NP - Beneficio Pleno";"707,70";"01/03/2013"
"10123421";"487";"NP - Beneficio Pleno";"834,72";"25/04/2016"
"10123422";"487";"NP - Beneficio Pleno";"440,59";"28/07/2012"
"10123423";"487";"NP - Beneficio Pleno";"146,30";"03/01/2012"
"10123424";"487";"NP - Beneficio Pleno";"394,41";"27/04/2010"
"10123425";"487";"NP - Beneficio Pleno";"554,30";"01/02/2013"
"10123426";"487";"NP - Beneficio Pleno";"1150,17";"30/07/2016"
"10123427";"487";"NP - Beneficio Pleno";"813,99";"30/04/2016"
"10123428";"487";"NP - Beneficio Pleno";"1399,88";"30/03/2015"
"10123429";"487";"NP - Beneficio Pleno";"1033,35";"06/08/2015"
"10123430";"487";"NP - Beneficio Pleno";"101,34";"01/03/2008"
"10123431";"487";"NP - Beneficio Pleno";"1242,16";"30/05/2015"
"10123432";"487";"NP - Beneficio Pleno";"662,12";"25/08/2012"
"10123433";"481";"NP - Beneficio por Invalidez";"51,37";"19/10/2007"
"10123434";"487";"NP - Beneficio Pleno";"1074,87";"28/03/2015"
"10123435";"487";"NP - Beneficio Pleno";"1237,38";"26/04/2016"
"10123436";"487";"NP - Beneficio Pleno";"1041,65";"01/04/2016"
"10123437";"487";"NP - Beneficio Pleno";"1102,98";"22/05/2015"
"10123438";"487";"NP - Beneficio Pleno";"529,62";"29/05/2015"
"10123439";"487";"NP - Beneficio Pleno";"338,12";"01/03/2013"
"10123440";"487";"NP - Beneficio Pleno";"459,24";"01/05/2010"
"10123441";"487";"NP - Beneficio Pleno";"1109,03";"25/08/2012"
"10123442";"487";"NP - Beneficio Pleno";"1020,90";"01/04/2016"
"10123443";"487";"NP - Beneficio Pleno";"427,44";"24/05/2015"
"10123444";"487";"NP - Beneficio Pleno";"1567,62";"17/02/2011"
"10123445";"487";"NP - Beneficio Pleno";"274,00";"01/07/2011"
"10123446";"487";"NP - Beneficio Pleno";"411,62";"01/05/2010"
"10123447";"487";"NP - Beneficio Pleno";"696,87";"24/08/2012"
"10123448";"487";"NP - Beneficio Pleno";"1729,74";"23/03/2015"
"10123449";"487";"NP - Beneficio Pleno";"430,93";"01/05/2010"
"10123450";"487";"NP - Beneficio Pleno";"442,14";"01/01/2010"
"10123451";"487";"NP - Beneficio Pleno";"1000,72";"01/04/2015"
"10123452";"487";"NP - Beneficio Pleno";"792,88";"18/06/2016"
"10123453";"487";"NP - Beneficio Pleno";"264,58";"01/05/2010"
"10123454";"487";"NP - Beneficio Pleno";"528,47";"25/08/2012"
"10123455";"487";"NP - Beneficio Pleno";"1432,42";"12/03/2016"
"10123456";"487";"NP - Beneficio Pleno";"569,20";"13/07/2013"
"10123457";"487";"NP - Beneficio Pleno";"520,38";"01/04/2016"
"10123458";"487";"NP - Beneficio Pleno";"174,81";"01/05/2010"
"10123459";"487";"NP - Beneficio Pleno";"371,06";"03/07/2012"
"10123460";"487";"NP - Beneficio Pleno";"1271,27";"30/05/2015"
"10123461";"487";"NP - Beneficio Pleno";"838,12";"19/01/2013"
"10123462";"487";"NP - Beneficio Pleno";"1328,81";"29/05/2015"
"10123463";"487";"NP - Beneficio Pleno";"579,33";"01/03/2013"
"10123464";"487";"NP - Beneficio Pleno";"796,82";"28/05/2015"
"10123465";"487";"NP - Beneficio Pleno";"603,03";"25/12/2014"
"10123466";"487";"NP - Beneficio Pleno";"433,30";"27/03/2010"
"10123467";"487";"NP - Beneficio Pleno";"97,20";"09/06/2008"
"10123468";"487";"NP - Beneficio Pleno";"204,28";"12/03/2012"
"10123469";"487";"NP - Beneficio Pleno";"310,92";"20/07/2010"
"10123470";"487";"NP - Beneficio Pleno";"119,30";"02/01/2008"
"10123471";"481";"NP - Beneficio por Invalidez";"280,78";"16/09/2010"
"10123472";"487";"NP - Beneficio Pleno";"360,64";"01/04/2015"
"10123473";"487";"NP - Beneficio Pleno";"770,51";"14/06/2013"
"10123474";"487";"NP - Beneficio Pleno";"816,08";"17/03/2015"
"10123475";"487";"NP - Beneficio Pleno";"1413,76";"24/05/2015"
"10123476";"487";"NP - Beneficio Pleno";"859,83";"17/08/2013"
"10123477";"487";"NP - Beneficio Pleno";"932,49";"14/03/2015"
"10123478";"487";"NP - Beneficio Pleno";"1492,27";"19/01/2016"
"10123479";"487";"NP - Beneficio Pleno";"1630,00";"17/03/2015"
"10123480";"487";"NP - Beneficio Pleno";"227,49";"17/12/2008"
"10123481";"487";"NP - Beneficio Pleno";"846,88";"21/05/2015"
"10123482";"487";"NP - Beneficio Pleno";"955,80";"17/08/2013"
"10123483";"481";"NP - Beneficio por Invalidez";"258,67";"28/03/2013"
"10123484";"487";"NP - Beneficio Pleno";"99,56";"24/05/2008"
"10123485";"487";"NP - Beneficio Pleno";"1363,96";"26/05/2015"
"10123486";"487";"NP - Beneficio Pleno";"708,89";"04/08/2012"
"10123487";"487";"NP - Beneficio Pleno";"293,20";"21/04/2010"
"10123488";"487";"NP - Beneficio Pleno";"1369,72";"04/07/2012"
"10123489";"487";"NP - Beneficio Pleno";"962,68";"01/06/2014"
"10123490";"487";"NP - Beneficio Pleno";"465,86";"01/08/2012"
"10123491";"487";"NP - Beneficio Pleno";"841,76";"21/08/2012"
"10123492";"487";"NP - Beneficio Pleno";"507,23";"21/07/2012"
"10123493";"487";"NP - Beneficio Pleno";"316,54";"17/04/2010"
"10123494";"487";"NP - Beneficio Pleno";"811,54";"01/05/2015"
"10123495";"487";"NP - Beneficio Pleno";"102,11";"07/06/2008"
"10123496";"487";"NP - Beneficio Pleno";"1677,57";"24/09/2013"
"10123497";"487";"NP - Beneficio Pleno";"771,14";"30/04/2014"
"10123498";"487";"NP - Beneficio Pleno";"1271,97";"28/05/2015"
"10123499";"487";"NP - Beneficio Pleno";"614,70";"11/04/2015"
"10123500";"487";"NP - Beneficio Pleno";"164,08";"01/12/2008"
"10123501";"487";"NP - Beneficio Pleno";"900,67";"30/05/2015"
"10123502";"487";"NP - Beneficio Pleno";"1064,33";"19/02/2013"
"10123503";"487";"NP - Beneficio Pleno";"495,02";"04/12/2011"
"10123504";"487";"NP - Beneficio Pleno";"943,75";"02/04/2015"
"10123505";"481";"NP - Beneficio por Invalidez";"13,04";"17/04/2007"
"10123506";"487";"NP - Beneficio Pleno";"1141,07";"22/03/2016"
"10123507";"487";"NP - Beneficio Pleno";"658,76";"30/05/2015"
