"ID_PARTICIPANTE";"DT_INICIO_BENEFICIO";"VL_VALOR"
"10123420";"01/11/2010";"3182,15"
"10123421";"21/02/2013";"2875,15"
"10123422";"24/04/2011";"2903,90"
"10123423";"03/01/2012";"4190,99"
"10123424";"01/03/2009";"2755,83"
"10123425";"19/01/2010";"2581,31"
"10123426";"30/06/2016";"3602,10"
"10123427";"30/06/2015";"4738,04"
"10123428";"07/05/2014";"2998,97"
"10123430";"23/08/2007";"2592,25"
"10123431";"08/09/2008";"2584,36"
"10123432";"03/10/2011";"2618,86"
"10123433";"19/10/2007";"4534,52"
"10123434";"24/03/2013";"3104,28"
"10123435";"27/05/2013";"3145,17"
"10123436";"20/11/2015";"3228,90"
"10123437";"15/01/2007";"2777,90"
"10123438";"02/04/2012";"2877,35"
"10123439";"15/01/2010";"2982,14"
"10123440";"24/02/2010";"2708,52"
"10123441";"26/06/2012";"2863,26"
"10123442";"01/08/2012";"2883,24"
"10123443";"15/05/2007";"2723,23"
"10123444";"07/02/2011";"2871,94"
"10123445";"27/12/2007";"2434,24"
"10123446";"09/04/2010";"3065,27"
"10123447";"30/03/2012";"2561,87"
"10123448";"03/08/2011";"2691,68"
"10123449";"19/05/2010";"2761,98"
"10123450";"27/11/2009";"2672,83"
"10123451";"25/08/2014";"3217,41"
"10123452";"29/11/2013";"3126,73"
"10123453";"05/12/2006";"2388,46"
"10123454";"04/07/2012";"3119,69"
"10123455";"01/08/2014";"3154,13"
"10123456";"27/05/2013";"3238,13"
"10123457";"20/05/2014";"3751,38"
"10123458";"11/01/2008";"2884,79"
"10123459";"04/01/2012";"2701,27"
"10123460";"16/04/2012";"2800,31"
"10123461";"17/12/2010";"2853,60"
"10123462";"01/02/2013";"3124,35"
"10123463";"22/12/2010";"2866,45"
"10123464";"17/10/2012";"2896,07"
"10123465";"02/07/2014";"3327,66"
"10123466";"12/09/2006";"2555,97"
"10123467";"17/01/2007";"2333,21"
"10123468";"23/02/2012";"1841,57"
"10123469";"01/06/2010";"2663,62"
"10123470";"12/04/2007";"3076,61"
"10123471";"16/09/2010";"4188,56"
"10123472";"23/07/2013";"3466,70"
"10123473";"24/06/2013";"3020,99"
"10123474";"02/06/2014";"3212,01"
"10123475";"20/01/2009";"3087,01"
"10123476";"26/04/2013";"3121,27"
"10123477";"01/11/2013";"3164,42"
"10123478";"05/02/2013";"3347,41"
"10123479";"01/03/2015";"3199,27"
"10123480";"27/08/2008";"2578,20"
"10123481";"18/04/2011";"3196,16"
"10123482";"28/06/2013";"3129,57"
"10123483";"28/03/2013";"4574,25"
"10123484";"14/02/2008";"2255,41"
"10123485";"29/11/2012";"2891,61"
"10123486";"01/09/2011";"3096,03"
"10123487";"12/05/2008";"2576,51"
"10123488";"28/05/2012";"2821,60"
"10123489";"31/01/2014";"3106,62"
"10123490";"01/07/2012";"3041,42"
"10123491";"28/07/2010";"2632,23"
"10123492";"12/12/2006";"2486,86"
"10123493";"05/02/2010";"3108,74"
"10123494";"11/03/2014";"3460,50"
"10123496";"13/06/2013";"3221,37"
"10123497";"07/03/2014";"3306,79"
"10123498";"01/07/2011";"3393,11"
"10123499";"14/04/2014";"3101,28"
"10123500";"18/01/2007";"2161,58"
"10123501";"28/11/2013";"3024,66"
"10123502";"18/02/2013";"3311,71"
"10123503";"05/09/2011";"2988,09"
"10123504";"19/02/2015";"3514,98"
"10123505";"17/04/2007";"3940,94"
"10123506";"14/06/2012";"3103,35"
"10123507";"15/08/2014";"3228,25"
"10123508";"01/03/2011";"3148,69"
"10123509";"23/11/2006";"2552,98"
"10123510";"02/08/2004";"2217,92"
"10123511";"16/01/2015";"3074,02"
"10123512";"10/10/2007";"2634,50"
"10123513";"25/04/2012";"3152,90"
"10123514";"30/06/2009";"2776,17"
"10123515";"29/04/2014";"2877,36"
"10123516";"17/08/2011";"2861,40"
"10123517";"09/08/2012";"2717,08"
"10123518";"21/05/2007";"2422,69"
"10123519";"22/11/2012";"3177,83"
"10123520";"01/09/2011";"2456,80"
"10123521";"01/12/2010";"1764,27"
"10123522";"02/08/2010";"2619,54"
"10123523";"06/03/2007";"2365,69"
"10123524";"14/01/2009";"2959,55"
"10123525";"22/12/2011";"3004,19"
"10123526";"26/06/2012";"3001,11"
"10123527";"18/11/2008";"2828,34"
"10123528";"26/04/2010";"4665,99"
"10123529";"14/01/2015";"3589,34"
"10123530";"15/10/2015";"4734,71"
"10123531";"01/10/2011";"2879,19"
"10123532";"27/04/2010";"1710,90"
"10123533";"01/09/2014";"3016,81"
"10123534";"04/08/2015";"3167,06"
"10123535";"02/07/2013";"2713,10"
"10123536";"24/07/2012";"2879,47"
"10123537";"03/10/2013";"3256,33"
"10123538";"23/03/2009";"2762,97"
"10123539";"06/09/2010";"2479,68"
"10123540";"04/03/2008";"2571,07"
"10123541";"30/05/2014";"3414,32"
"10123542";"07/05/2012";"3066,98"
"10123543";"06/02/2012";"3004,78"
"10123544";"29/07/2013";"2136,26"
"10123545";"17/07/2014";"3506,01"
"10123546";"28/09/2009";"2893,05"
"10123547";"14/01/2013";"2916,25"
"10123548";"01/01/2012";"3287,76"
"10123549";"02/05/2011";"3121,15"
"10123550";"27/04/2012";"4354,51"
"10123551";"03/04/2013";"2295,29"
"10123552";"07/04/2010";"2749,01"
"10123553";"01/08/2007";"2606,09"
"10123554";"12/03/2012";"2705,96"
"10123555";"03/02/2016";"3266,86"
"10123556";"24/06/2010";"2700,89"
"10123557";"07/07/2014";"2896,05"
"10123558";"23/12/2013";"2870,00"
"10123559";"02/06/2014";"2880,11"
"10123560";"28/09/2012";"2815,50"
